Software version: 0.10.9 ; Calibration file: 9182501_20251128_CAL.txt
Scan start time,Bin 1.25-1.5 nm,Bin 1.5-1.7 nm,Bin 1.7-2.5 nm,Bin 2.5-5.0 nm,Bin 5.0-8.0 nm,Bin 8.0-13.07 nm,Dp >13.07 nm total number concentration
2026-01-06T00:01:32,13822.82,5355.04,904.99,388.48,78.80,19.15,
2026-01-06T00:03:32,9889.42,0,1097.26,308.48,95.45,43.61,
2026-01-06T00:05:32,20767.02,3691.06,429.73,396.27,382.90,0,
2026-01-06T00:07:32,4688.18,2475.75,559.24,373.64,0,181.33,
2026-01-06T00:09:32,18522.12,2551.34,685.09,365.31,30.64,52.83,
2026-01-06T00:11:32,8443.59,104.73,596.75,350.87,239.37,0,
2026-01-06T00:13:32,17136.06,304.90,1127.17,381.30,64.19,43.81,
2026-01-06T00:15:32,13912.74,1212.07,52.68,412.09,0,265.18,
2026-01-06T00:17:32,26554.94,590.51,448.06,435.40,0,183.26,
2026-01-06T00:19:32,6857.09,1556.82,0.71,238.16,513.67,0,
2026-01-06T00:21:32,20503.79,4152.17,639.97,212.00,124.25,109.06,
2026-01-06T00:23:32,2634.30,3538.01,785.91,182.98,29.21,164.24,
2026-01-06T00:25:32,19833.60,2019.87,735.65,349.67,122.34,0,
2026-01-06T00:27:32,11342.31,1212.82,73.23,312.71,0,54.25,
2026-01-06T00:29:32,14008.14,2201.73,935.73,433.40,0,0,
2026-01-06T00:31:32,10174.47,2602.50,382.26,224.71,313.67,0,
2026-01-06T00:33:32,25324.15,2951.52,645.46,397.46,78.34,0,
2026-01-06T00:35:32,10694.21,3220.56,596.96,403.87,0,189.13,
2026-01-06T00:37:32,16955.53,4453.19,0,461.77,0,207.47,
2026-01-06T00:39:32,7748.20,0,437.82,332.80,95.32,2.82,
2026-01-06T00:41:32,25692.94,971.70,177.96,443.31,0,148.44,
2026-01-06T00:43:32,4298.17,3453.77,415.13,350.85,4.03,0,
2026-01-06T00:45:32,31648.21,747.16,332.03,405.56,59.84,0,
2026-01-06T00:47:32,4108.74,3765.60,124.87,423.86,0,429.89,
2026-01-06T00:49:32,22704.02,2260.54,276.42,340.31,0,0,
2026-01-06T00:51:32,13159.35,0,652.60,253.24,162.29,0,
2026-01-06T00:53:32,22843.58,1412.44,482.43,319.33,131.25,0,
2026-01-06T00:55:32,15876.50,0,419.29,328.85,126.05,0,
2026-01-06T00:57:32,27532.14,0,778.95,211.32,37.35,293.00,
2026-01-06T00:59:32,6818.07,610.93,399.31,461.26,0,80.77,
2026-01-06T01:01:32,19463.06,1601.17,784.29,138.35,0,171.68,
2026-01-06T01:03:32,9750.91,0,648.60,221.08,0,48.00,
2026-01-06T01:05:32,16939.96,1348.92,628.59,60.20,261.33,0,
2026-01-06T01:07:32,6886.63,704.37,454.58,142.18,70.03,0,
2026-01-06T01:09:32,16256.98,2409.76,433.99,251.41,109.90,0,
2026-01-06T01:11:32,1026.35,1180.70,409.33,219.59,0,256.98,
2026-01-06T01:13:32,19659.10,255.87,807.04,115.89,0,0,
2026-01-06T01:15:32,5070.61,0,310.64,316.19,0,129.56,
2026-01-06T01:17:32,28635.03,1277.74,192.04,333.33,0,196.05,
2026-01-06T01:19:32,5296.59,30.02,95.13,347.77,34.22,28.09,
2026-01-06T01:21:32,30749.43,0,514.07,352.34,134.20,0,
2026-01-06T01:23:32,7743.86,3159.03,52.48,156.57,0,588.19,
2026-01-06T01:25:32,18208.10,3715.65,470.75,108.44,110.31,0,
2026-01-06T01:27:32,18287.66,0,485.36,6.00,361.44,0,
2026-01-06T01:29:32,21900.70,1584.03,228.36,162.71,131.46,0,
2026-01-06T01:31:32,11338.59,0,418.08,255.40,43.76,0,
2026-01-06T01:33:32,16421.07,5096.37,137.51,277.22,35.10,0,
2026-01-06T01:35:32,2027.89,2092.16,0,318.88,0,38.36,
2026-01-06T01:37:32,26785.26,2278.14,304.12,260.96,0,32.30,
2026-01-06T01:39:32,7600.23,4826.76,226.85,273.85,0,218.54,
2026-01-06T01:41:32,27561.01,2696.95,311.10,221.87,54.24,0,
2026-01-06T01:43:32,12633.87,2625.83,0,271.95,0,206.33,
2026-01-06T01:45:32,22233.99,5323.48,0,202.31,340.00,0,
2026-01-06T01:47:32,8095.65,2937.87,129.72,260.91,0,282.93,
2026-01-06T01:49:32,25325.99,166.93,1051.15,47.30,119.06,0,
2026-01-06T01:51:32,7627.34,2547.52,0,99.47,157.09,0,
2026-01-06T01:53:32,22265.27,1102.11,956.32,57.40,33.39,248.82,
2026-01-06T01:55:32,8551.36,1089.53,97.41,182.29,95.78,13.09,
2026-01-06T01:57:32,27116.84,2847.55,482.05,138.03,0,0,
2026-01-06T01:59:32,7091.27,1132.17,179.06,46.09,0,316.40,
2026-01-06T02:01:32,26013.46,2003.75,0,154.95,69.59,0,
2026-01-06T02:03:32,17848.84,153.23,288.96,8.22,0,42.66,
2026-01-06T02:05:32,28316.05,1536.08,320.73,91.73,223.98,0,
2026-01-06T02:07:32,10487.82,1163.00,263.56,79.39,22.92,43.39,
2026-01-06T02:09:32,21237.28,2786.09,364.21,179.62,104.69,0,
2026-01-06T02:11:32,7744.04,986.68,0,234.03,0,4.82,
2026-01-06T02:13:32,21520.24,2887.30,1163.70,0,179.14,60.84,
2026-01-06T02:15:32,10399.38,1850.64,0,226.62,0,0,
2026-01-06T02:17:32,25534.67,1838.64,557.71,2.75,199.43,0,
2026-01-06T02:19:32,10472.36,2051.39,257.98,0,272.82,0,
2026-01-06T02:21:32,24155.40,0,755.79,177.71,0,9.04,
2026-01-06T02:23:32,3478.87,3918.33,463.10,159.45,0,0,
2026-01-06T02:25:32,28472.81,1325.15,185.33,55.10,206.42,79.27,
2026-01-06T02:27:32,6356.91,1934.94,24.68,126.21,59.45,69.95,
2026-01-06T02:29:32,16825.58,2891.74,66.32,271.83,44.04,0,
2026-01-06T02:31:32,8183.97,2808.79,344.11,115.25,191.07,0,
2026-01-06T02:33:32,29313.42,63.42,369.39,163.80,0,232.52,
2026-01-06T02:35:32,4603.51,2556.46,411.86,18.19,0,0,
2026-01-06T02:37:32,24437.01,1853.71,158.80,156.49,141.67,0,
2026-01-06T02:39:32,7050.94,554.34,376.77,205.03,0,0,
2026-01-06T02:41:32,15710.95,2273.68,330.33,0,106.03,331.52,
2026-01-06T02:43:32,13573.34,0,346.84,0,270.30,0,
2026-01-06T02:45:32,22499.75,741.90,829.96,177.95,0,143.67,
2026-01-06T02:47:32,12193.23,0,653.23,72.95,154.64,0,
2026-01-06T02:49:32,24569.30,1093.39,168.92,267.14,0,0,
2026-01-06T02:51:32,10192.85,3115.60,139.35,251.14,189.79,0,
2026-01-06T02:53:32,14990.23,7210.49,0,126.98,180.88,0,
2026-01-06T02:55:32,9170.07,0,872.64,57.76,282.01,0,
2026-01-06T02:57:32,28815.25,1817.21,141.10,220.78,41.11,132.93,
2026-01-06T02:59:32,6547.24,2044.62,230.61,93.13,0,0,
2026-01-06T03:01:32,29478.72,4981.29,322.29,40.30,25.92,0,
2026-01-06T03:03:32,13709.72,980.12,245.11,0,130.69,0,
2026-01-06T03:05:32,25229.11,1445.55,250.69,25.61,208.35,0,
2026-01-06T03:07:32,2703.60,4069.70,0,75.95,0,145.21,
2026-01-06T03:09:32,28529.39,2197.11,0,154.97,106.77,0,
2026-01-06T03:11:32,5646.50,0,1151.48,0,153.77,0,
2026-01-06T03:13:32,19525.10,5098.85,464.08,140.97,0,278.46,
2026-01-06T03:15:32,2357.67,3331.84,20.30,34.05,0,0,
2026-01-06T03:17:32,25571.23,3938.37,0,74.24,0,176.84,
2026-01-06T03:19:32,12511.38,0,0,116.58,0,274.61,
2026-01-06T03:21:32,22357.44,1835.74,0,202.52,0,416.42,
2026-01-06T03:23:32,6454.99,0,1150.92,0,152.15,0,
2026-01-06T03:25:32,30900.76,0,50.75,36.47,0,183.52,
2026-01-06T03:27:32,13049.39,1721.53,0,32.37,0,193.72,
2026-01-06T03:29:32,23139.76,1338.62,46.70,167.08,0,289.00,
2026-01-06T03:31:32,2135.02,3387.03,109.35,56.12,0,0,
2026-01-06T03:33:32,20511.88,2846.78,331.01,6.36,200.80,0,
2026-01-06T03:35:32,11021.10,1771.97,0,3.73,34.95,9.15,
2026-01-06T03:37:32,27492.89,242.18,140.20,105.27,0,177.81,
2026-01-06T03:39:31,10211.41,400.40,212.64,0,0,11.73,
2026-01-06T03:41:31,28674.28,2383.72,0,63.78,9.61,0,
2026-01-06T03:43:31,15996.94,0,116.09,214.02,0,0,
2026-01-06T03:45:31,18014.06,0,93.37,88.59,42.60,0,
2026-01-06T03:47:31,6995.26,0,0,0,253.37,0,
2026-01-06T03:49:31,12762.37,312.67,342.18,270.24,0,219.11,
2026-01-06T03:51:31,11521.46,0,409.86,200.07,0,0,
2026-01-06T03:53:31,16817.78,821.69,153.81,0,122.10,255.93,
2026-01-06T03:55:31,2740.67,1350.99,0,201.03,0,545.00,
2026-01-06T03:57:31,20886.93,0,0,338.37,0,32.36,
2026-01-06T03:59:31,3993.29,2454.16,0,105.50,38.91,0,
2026-01-06T04:01:31,16589.62,0,26.56,25.00,73.80,0,
2026-01-06T04:03:31,16383.22,841.88,0,135.62,0,0,
2026-01-06T04:05:31,15421.41,0,0,0,259.34,0,
2026-01-06T04:07:31,4471.03,1514.04,0,99.52,177.55,0,
2026-01-06T04:09:31,13712.59,61.09,0,95.49,0,302.61,
2026-01-06T04:11:31,3753.86,473.55,0,0,0,119.70,
2026-01-06T04:13:31,3363.30,5345.24,0,139.29,0,368.24,
2026-01-06T04:15:31,0,0,402.34,16.91,37.87,0,
2026-01-06T04:17:31,18197.41,0,0,0,246.52,0.77,
2026-01-06T04:19:31,1216.87,1581.74,0,0,0,79.53,
2026-01-06T04:21:31,10830.97,0,676.40,158.95,0,50.11,
2026-01-06T04:23:31,8081.59,0,0,0,180.59,0,
2026-01-06T04:25:31,19582.14,0,0,105.09,0,4.83,
2026-01-06T04:27:31,1528.00,0,179.13,0,264.43,0,
2026-01-06T04:29:31,15100.18,0,297.20,71.51,0,0,
2026-01-06T04:31:31,0,2945.14,0,0,153.91,54.94,
2026-01-06T04:33:31,9407.50,1092.57,0,9.72,0,0,
2026-01-06T04:35:31,6316.25,0,0,0,46.11,0,
2026-01-06T04:37:31,15096.08,1864.29,46.74,0,0,62.17,
2026-01-06T04:39:31,4244.51,2459.31,0,110.93,0,308.42,
